max(Dacoity),max(Robbery),DISTRICT
0,0,"W.RLY AHMEDABAD"
0,0,"W.RLY VADODARA"
0,0,"RAILWAYS JAMMU"
0,0,"RAILWAYS KASHMIR"
0,0,"MANGALORE CITY"
0,0,"KOLLAM COMMR."
0,0,"KOLLAM RURAL"
0,0,"THRISSUR COMMR."
0,0,"THRISSUR RURAL"
0,0,FAZILKA
0,0,PATHANKOT
0,0,G.R.P.AJMER
0,0,G.R.P.JODHPUR
0,0,"JAIPUR WEST"
0,0,"BHIM NAGAR"
0,0,"PANCHSHIL NAGAR"
0,0,"PRABUDDH NAGAR"
0,0,BAKSA
0,0,BIEO
0,0,HAMREN
0,0,BALOD
0,0,"BALODA BAZAR"
0,0,BEMETARA
0,0,KONDAGAON
0,0,MUNGELI
0,0,SUKMA
0,0,"AMBALA RURAL"
0,0,"AMBALA URBAN"
0,0,"RAILWAYS KATRA"
0,0,"JODHPUR EAST"
0,0,"JODHPUR WEST"
0,0,GOMATI
0,1,KHOWAI
0,0,SIPAHIJALA
0,0,UNAKOTI
0,0,"BDN CP"
0,0,"BKP CP"
0,0,JHARGRAM
0,0,SILIGURI_PC
0,0,CAR
